county,city,modelYear,make,model,electricVehicleType,electricRange,electricUtility,Range Class
King,Sammamish,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Redmond,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Federal Way,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Pacific,Tokeland,2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),35.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 2 OF PACIFIC COUNTY,Short Range
San Juan,Friday Harbor,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),32.0,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,Short Range
King,Seattle,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),208.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
King,Bothell,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Snohomish,Bothell,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC,Long Range
Walla Walla,Walla Walla,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PACIFICORP,Long Range
Snohomish,Bothell,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220.0,PUGET SOUND ENERGY INC,Long Range
Snohomish,Everett,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),30.0,PUGET SOUND ENERGY INC,Short Range
King,Seattle,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),200.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Medium Range
King,Burien,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),244.3,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Redmond,2019,MERCEDES-BENZ,GLC-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),10.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Clark,Vancouver,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Long Range
King,Auburn,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Issaquah,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Issaquah,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Skamania,Washougal,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF SKAMANIA CO,Long Range
King,Bellevue,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),249.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Bellevue,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Normandy Park,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),105.0415512465374,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
King,Bellevue,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),30.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Issaquah,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),84.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Bothell,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),105.0415512465374,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
Benton,Richland,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),Long Range
King,Renton,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),30.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Pierce,Tacoma,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),210.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Long Range
King,Issaquah,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),249.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Thurston,Olympia,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC,Long Range
Whatcom,Maple Falls,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,Short Range
Whatcom,Bellingham,2021,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),18.0,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,Short Range
King,Seattle,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),210.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
King,Tukwila,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Burien,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Bellevue,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Clark,Washougal,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),244.3,BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA),Long Range
Snohomish,Bothell,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC,Long Range
Thurston,Olympia,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),244.3,PUGET SOUND ENERGY INC,Long Range
King,Covington,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),84.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Clark,Camas,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),232.69662921348313,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Long Range
Snohomish,Marysville,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322.0,PUGET SOUND ENERGY INC,Long Range
Snohomish,Marysville,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC,Long Range
King,Sammamish,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),200.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
Pierce,Tacoma,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||LAKEVIEW LIGHT & POWER|PENINSULA LIGHT COMPANY,Long Range
Snohomish,Edmonds,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,PUGET SOUND ENERGY INC,Long Range
King,Medina,2019,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),234.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Clark,Washougal,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Long Range
King,Kirkland,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
Skamania,Stevenson,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF SKAMANIA CO,Short Range
King,Bellevue,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Redmond,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),84.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Bothell,2022,MINI,HARDTOP,Battery Electric Vehicle (BEV),110.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
Thurston,Tumwater,2022,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),24.0,PUGET SOUND ENERGY INC,Short Range
Whatcom,Bellingham,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,Long Range
Grays Harbor,Oakville,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),47.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,Short Range
Kitsap,Port Orchard,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322.0,PUGET SOUND ENERGY INC,Long Range
Pierce,Dupont,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Thurston,Olympia,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC,Long Range
King,Newcastle,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Snohomish,Lake Stevens,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),6.0,PUGET SOUND ENERGY INC,Short Range
King,Renton,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Whatcom,Maple Falls,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53.0,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,Short Range
Spokane,Newman Lake,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),249.0,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,Long Range
Spokane,Spokane,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53.0,MODERN ELECTRIC WATER COMPANY,Short Range
Pierce,Tacoma,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),210.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Long Range
King,Sammamish,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Seattle,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),270.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
San Juan,Eastsound,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259.0,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,Long Range
Spokane,Spokane,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),208.0,MODERN ELECTRIC WATER COMPANY,Long Range
Clark,Ridgefield,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Long Range
King,Sammamish,2022,AUDI,Q5,Plug-in Hybrid Electric Vehicle (PHEV),23.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Kent,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Thurston,Rochester,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC,Long Range
Clark,Washougal,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA),Long Range
Benton,Kennewick,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,Long Range
Jefferson,Port Townsend,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),105.0415512465374,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,Medium Range
King,Clyde Hill,2023,AUDI,E-TRON,Battery Electric Vehicle (BEV),210.54545454545453,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Seattle,2021,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),18.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
Benton,Kennewick,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),19.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,Short Range
Pierce,Gig Harbor,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),227.99428571428572,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Long Range
Clark,Washougal,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),84.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Short Range
King,Seatac,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Kirkland,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),210.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Woodinville,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Federal Way,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Bothell,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Seattle,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),72.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
King,Seattle,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),47.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
King,Seattle,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),149.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Medium Range
King,Auburn,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),19.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Covington,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Bothell,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Snohomish,Bothell,2022,KIA,NIRO,Battery Electric Vehicle (BEV),239.0,PUGET SOUND ENERGY INC,Long Range
Snohomish,Bothell,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,PUGET SOUND ENERGY INC,Long Range
King,Kent,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Pierce,Tacoma,2014,FIAT,500,Battery Electric Vehicle (BEV),87.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Short Range
Spokane,Spokane,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,Short Range
King,Seattle,2014,FIAT,500,Battery Electric Vehicle (BEV),87.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
King,Shoreline,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),25.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
Jefferson,Port Townsend,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53.0,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,Short Range
King,Sammamish,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Seattle,2018,BMW,I3,Battery Electric Vehicle (BEV),114.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Medium Range
Lewis,Toledo,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),35.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,Short Range
Kitsap,Bainbridge Island,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC,Short Range
Cowlitz,Kelso,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,Short Range
King,Federal Way,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Whatcom,Bellingham,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),17.0,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,Short Range
Cowlitz,Longview,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,Long Range
Thurston,Olympia,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),210.0,PUGET SOUND ENERGY INC,Long Range
Snohomish,Snohomish,2021,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),26.0,PUGET SOUND ENERGY INC,Short Range
King,Bellevue,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),107.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
King,Redmond,2020,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),20.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Seattle,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),330.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
Clallam,Sequim,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,Short Range
Snohomish,Monroe,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC,Long Range
Snohomish,Stanwood,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238.0,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,Long Range
Snohomish,Snohomish,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC,Long Range
Spokane,Spokane,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,Long Range
King,Bellevue,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Sammamish,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),200.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
Thurston,Olympia,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),208.0,PUGET SOUND ENERGY INC,Long Range
Pierce,Dupont,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Whatcom,Bellingham,2019,KIA,NIRO,Battery Electric Vehicle (BEV),239.0,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,Long Range
Thurston,Olympia,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),249.0,PUGET SOUND ENERGY INC,Long Range
King,Renton,2020,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV),29.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Federal Way,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),84.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Clark,Vancouver,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Short Range
King,Seattle,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),26.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
King,Seattle,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),210.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
King,Kirkland,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),30.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Jefferson,Port Townsend,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),73.0,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,Short Range
King,Duvall,2018,FIAT,500,Battery Electric Vehicle (BEV),84.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Redmond,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Auburn,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Thurston,Olympia,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),26.0,PUGET SOUND ENERGY INC,Short Range
King,Shoreline,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
King,Maple Valley,2022,KIA,NIRO,Battery Electric Vehicle (BEV),239.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Spokane,Nine Mile Falls,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38.0,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,Short Range
King,Newcastle,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),200.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
King,Mercer Island,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),249.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Mason,Belfair,2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),16.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,Short Range
King,Shoreline,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
Pierce,Auburn,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Kitsap,Bainbridge Island,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),33.0,PUGET SOUND ENERGY INC,Short Range
King,Bellevue,2020,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),12.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Bellevue,2018,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),97.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Sammamish,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Issaquah,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Renton,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Seattle,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),30.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
Mason,Lilliwaup,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF MASON COUNTY,Long Range
Snohomish,Edmonds,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),19.0,PUGET SOUND ENERGY INC,Short Range
Snohomish,Lynnwood,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75.0,PUGET SOUND ENERGY INC,Short Range
Snohomish,Bothell,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150.0,PUGET SOUND ENERGY INC,Medium Range
Snohomish,Lake Stevens,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC,Long Range
Snohomish,Snohomish,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC,Long Range
King,Shoreline,2018,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),22.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
King,Seattle,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
King,Renton,2015,MERCEDES-BENZ,B-CLASS,Battery Electric Vehicle (BEV),87.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Kitsap,Silverdale,2020,KIA,NIRO,Battery Electric Vehicle (BEV),239.0,PUGET SOUND ENERGY INC,Long Range
Mason,Shelton,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,Medium Range
Snohomish,Bothell,2019,MERCEDES-BENZ,GLC-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),10.0,PUGET SOUND ENERGY INC,Short Range
Yakima,Naches,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PACIFICORP,Short Range
King,Mercer Island,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),200.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
